id,label,conversation
465,Positive,"العميل: تواصلت معكم وشرحتوا لي الرسوم، شكراً على التوضيح.
الموظف: تسلم، دايمًا نحب نخدمك بوضوح."
466,Negative,"العميل: الرسوم هذي غير مبررة بصراحة.
الموظف: نتفهمك وراح نوصل الملاحظة للإدارة."
467,Neutral,"العميل: كيف أوقف إرسال كشوف الحساب الورقية؟
الموظف: يمكنك تغيير الإعدادات من التطبيق البنكي."
468,Neutral,"العميل: هل هناك رسوم على كشف الحساب الإلكتروني؟
الموظف: لا، النسخة الإلكترونية مجانية بالكامل."
469,Neutral,"العميل: ما هي رسوم كشف الحساب الشهري؟
الموظف: الرسوم حاليًا هي 10 شيكلات لكل نسخة ورقية."
470,Negative,"العميل: لم أطلب كشف الحساب، لماذا تم الخصم؟
الموظف: نتحقق من ذلك ونوافيك بالتفاصيل خلال اليوم."
471,Negative,"العميل: الرسوم هذي غير مبررة بصراحة.
الموظف: نتفهمك وراح نوصل الملاحظة للإدارة."
472,Negative,"العميل: الرسوم هذي غير مبررة بصراحة.
الموظف: نتفهمك وراح نوصل الملاحظة للإدارة."
473,Negative,"العميل: الرسوم هذي غير مبررة بصراحة.
الموظف: نتفهمك وراح نوصل الملاحظة للإدارة."
474,Positive,"العميل: حاب أشكركم على التعامل الراقي مع مشكلتي.
الموظف: هاد من واجبنا، شكرًا لك."
475,Neutral,"العميل: هل هناك رسوم على كشف الحساب الإلكتروني؟
الموظف: لا، النسخة الإلكترونية مجانية بالكامل."
476,Neutral,"العميل: إذا طلبت كشف لشهرين، تنحسب رسوم مرتين؟
الموظف: نعم، كل كشف منفصل له رسوم."
477,Negative,"العميل: لماذا يتم فرض رسوم على كشف الحساب كل شهر؟
الموظف: نأسف للإزعاج، هذه سياسة البنك وسنوضح التفاصيل."
478,Neutral,"العميل: بكم رسوم كشف الحساب؟
الموظف: 10 شيكل للنسخة الورقية، والإلكترونية مجاناً."
479,Negative,"العميل: ليش انخصم مني رسوم وأنا ما طلبت شي؟
الموظف: خلينا نراجع العملية ونرد عليك."
480,Neutral,"العميل: هل هناك رسوم على كشف الحساب الإلكتروني؟
الموظف: لا، النسخة الإلكترونية مجانية بالكامل."
481,Negative,"العميل: لم أطلب كشف الحساب، لماذا تم الخصم؟
الموظف: نتحقق من ذلك ونوافيك بالتفاصيل خلال اليوم."
482,Positive,"العميل: تواصلت معكم وشرحتوا لي الرسوم، شكراً على التوضيح.
الموظف: تسلم، دايمًا نحب نخدمك بوضوح."
483,Negative,"العميل: لم أطلب كشف الحساب، لماذا تم الخصم؟
الموظف: نتحقق من ذلك ونوافيك بالتفاصيل خلال اليوم."
484,Positive,"العميل: أعجبتني سرعة التعامل مع شكوتي بشأن الرسوم.
الموظف: من واجبنا تقديم أفضل خدمة لك."
485,Positive,"العميل: حاب أشكركم على التعامل الراقي مع مشكلتي.
الموظف: هاد من واجبنا، شكرًا لك."
486,Positive,"العميل: تم استرداد الرسوم بعد تقديم الطلب، شكرًا جزيلًا.
الموظف: نأسف للإزعاج السابق، ونتمنى رضاك دائمًا."
487,Positive,"العميل: شكرًا لتوضيح سبب الرسوم على كشف الحساب.
الموظف: سعداء بخدمتك، إذا احتجت إعفاء مستقبلي نساعدك."
488,Negative,"العميل: الرسوم هذي غير مبررة بصراحة.
الموظف: نتفهمك وراح نوصل الملاحظة للإدارة."
489,Positive,"العميل: تم استرداد الرسوم بعد تقديم الطلب، شكرًا جزيلًا.
الموظف: نأسف للإزعاج السابق، ونتمنى رضاك دائمًا."
490,Positive,"العميل: أعجبتني سرعة التعامل مع شكوتي بشأن الرسوم.
الموظف: من واجبنا تقديم أفضل خدمة لك."
491,Positive,"العميل: شكراً رجعتوا لي الرسوم اللي انخصمت بالغلط.
الموظف: حياك، أي شي ثاني إحنا موجودين."
492,Negative,"العميل: ليش انخصم مني رسوم وأنا ما طلبت شي؟
الموظف: خلينا نراجع العملية ونرد عليك."
493,Negative,"العميل: الرسوم هذي غير مبررة بصراحة.
الموظف: نتفهمك وراح نوصل الملاحظة للإدارة."
494,Neutral,"العميل: كيف أوقف الرسائل اللي تجيني بالبريد؟
الموظف: تقدر تغير الإعدادات من التطبيق."
495,Neutral,"العميل: كيف أوقف إرسال كشوف الحساب الورقية؟
الموظف: يمكنك تغيير الإعدادات من التطبيق البنكي."
496,Neutral,"العميل: كيف أوقف الرسائل اللي تجيني بالبريد؟
الموظف: تقدر تغير الإعدادات من التطبيق."
497,Negative,"العميل: ليش انخصم مني رسوم وأنا ما طلبت شي؟
الموظف: خلينا نراجع العملية ونرد عليك."
498,Negative,"العميل: تم خصم رسوم على كشف الحساب دون علمي.
الموظف: نعتذر، وسنراجع التفاصيل فورًا."
499,Negative,"العميل: ما طلبت كشف حساب ومع كذا خصمتوا.
الموظف: نعتذر، راح نتحقق فوراً."
500,Positive,"العميل: شكرًا لتوضيح سبب الرسوم على كشف الحساب.
الموظف: سعداء بخدمتك، إذا احتجت إعفاء مستقبلي نساعدك."
501,Positive,"العميل: التواصل معكم ساعدني في فهم سبب تأخير السحب.
الموظف: يسرنا ذلك، ونتمنى لك تجربة سلسة دائمًا."
502,Negative,"العميل: لماذا لم يصلني مبلغ السحب حتى الآن؟
الموظف: نعتذر عن التأخير، سنراجع العملية حالًا."
503,Negative,"العميل: تأخرتوا كثير، وين المبلغ؟
الموظف: نعتذر، وراح نتابع فورًا."
504,Positive,"العميل: الحمدلله نزل المبلغ بعد ما انتظرت شوي.
الموظف: حياك الله، أي تأخير نتابعه على طول."
505,Negative,"العميل: لي أكثر من ساعة أنتظر تنفيذ السحب.
الموظف: نأسف لذلك، وسنقوم بفتح بلاغ عاجل."
506,Positive,"العميل: تم تنفيذ السحب بعد قليل من الانتظار، شكرًا لدعمكم.
الموظف: نشكرك على صبرك ونسعد بخدمتك دائمًا."
507,Positive,"العميل: بعد التوضيح، وصلتني النقود كما هو متوقع.
الموظف: الحمد لله، أي استفسار آخر نحن حاضرون."
508,Neutral,"العميل: ليه أحياناً يتأخر السحب؟
الموظف: ممكن بسبب ضغط الشبكة أو عطل مؤقت."
509,Positive,"العميل: نزلت الفلوس خلاص، يعطيكم العافية.
الموظف: تسلم، إحنا بالخدمة."
510,Positive,"العميل: نزلت الفلوس خلاص، يعطيكم العافية.
الموظف: تسلم، إحنا بالخدمة."
511,Negative,"العميل: لي أكثر من ساعة أنتظر تنفيذ السحب.
الموظف: نأسف لذلك، وسنقوم بفتح بلاغ عاجل."
512,Negative,"العميل: لماذا لم يصلني مبلغ السحب حتى الآن؟
الموظف: نعتذر عن التأخير، سنراجع العملية حالًا."
513,Neutral,"العميل: ليه أحياناً يتأخر السحب؟
الموظف: ممكن بسبب ضغط الشبكة أو عطل مؤقت."
514,Negative,"العميل: صار لي وقت أستنى السحب.
الموظف: نأسف، وفتحنا طلب متابعة."
515,Neutral,"العميل: أقدر أعرف وين وصلت العملية؟
الموظف: تقدر تشيك من التطبيق بحالة العملية."
516,Neutral,"العميل: أقدر أعرف وين وصلت العملية؟
الموظف: تقدر تشيك من التطبيق بحالة العملية."
517,Neutral,"العميل: أقدر أعرف وين وصلت العملية؟
الموظف: تقدر تشيك من التطبيق بحالة العملية."
518,Neutral,"العميل: ليه أحياناً يتأخر السحب؟
الموظف: ممكن بسبب ضغط الشبكة أو عطل مؤقت."
519,Negative,"العميل: السحب تأخر كثيرًا وهذا غير مقبول.
الموظف: نقدر انزعاجك وسنتابع فورًا."
520,Negative,"العميل: لماذا لم يصلني مبلغ السحب حتى الآن؟
الموظف: نعتذر عن التأخير، سنراجع العملية حالًا."
521,Negative,"العميل: صار لي وقت أستنى السحب.
الموظف: نأسف، وفتحنا طلب متابعة."
522,Neutral,"العميل: عادة كم ياخذ السحب وقت؟
الموظف: من دقايق إلى ربع ساعة غالباً."
523,Negative,"العميل: ليش لسه الفلوس ما نزلت؟
الموظف: بنراجع العملية ونرد عليك بسرعة."
524,Negative,"العميل: ليش لسه الفلوس ما نزلت؟
الموظف: بنراجع العملية ونرد عليك بسرعة."
525,Negative,"العميل: ليش لسه الفلوس ما نزلت؟
الموظف: بنراجع العملية ونرد عليك بسرعة."
526,Neutral,"العميل: كم يستغرق تنفيذ طلب السحب النقدي؟
الموظف: عادة يتم التنفيذ خلال دقائق، حسب حالة الشبكة."
527,Neutral,"العميل: أقدر أعرف وين وصلت العملية؟
الموظف: تقدر تشيك من التطبيق بحالة العملية."
528,Neutral,"العميل: أقدر أعرف وين وصلت العملية؟
الموظف: تقدر تشيك من التطبيق بحالة العملية."
529,Positive,"العميل: التواصل معكم ساعدني في فهم سبب تأخير السحب.
الموظف: يسرنا ذلك، ونتمنى لك تجربة سلسة دائمًا."
530,Neutral,"العميل: ما سبب تأخير بعض عمليات السحب؟
الموظف: قد يتأثر ذلك بحالة الصراف أو النظام البنكي."
531,Positive,"العميل: نزلت الفلوس خلاص، يعطيكم العافية.
الموظف: تسلم، إحنا بالخدمة."
532,Neutral,"العميل: ما سبب تأخير بعض عمليات السحب؟
الموظف: قد يتأثر ذلك بحالة الصراف أو النظام البنكي."
533,Neutral,"العميل: كم يستغرق تنفيذ طلب السحب النقدي؟
الموظف: عادة يتم التنفيذ خلال دقائق، حسب حالة الشبكة."
534,Positive,"العميل: نزلت الفلوس خلاص، يعطيكم العافية.
الموظف: تسلم، إحنا بالخدمة."
535,Neutral,"العميل: كم يستغرق تنفيذ طلب السحب النقدي؟
الموظف: عادة يتم التنفيذ خلال دقائق، حسب حالة الشبكة."
536,Positive,"العميل: شكراً وضحتوا سبب التأخير وتم السحب.
الموظف: أهم شي الأمور تمام."
537,Neutral,"العميل: ليه أحياناً يتأخر السحب؟
الموظف: ممكن بسبب ضغط الشبكة أو عطل مؤقت."
538,Positive,"العميل: شكراً وضحتوا سبب التأخير وتم السحب.
الموظف: أهم شي الأمور تمام."
539,Negative,"العميل: لي أكثر من ساعة أنتظر تنفيذ السحب.
الموظف: نأسف لذلك، وسنقوم بفتح بلاغ عاجل."
540,Negative,"العميل: لماذا لم يصلني مبلغ السحب حتى الآن؟
الموظف: نعتذر عن التأخير، سنراجع العملية حالًا."
541,Neutral,"العميل: كم يستغرق تنفيذ طلب السحب النقدي؟
الموظف: عادة يتم التنفيذ خلال دقائق، حسب حالة الشبكة."
542,Neutral,"العميل: أقدر أعرف وين وصلت العملية؟
الموظف: تقدر تشيك من التطبيق بحالة العملية."
543,Neutral,"العميل: أقدر أعرف وين وصلت العملية؟
الموظف: تقدر تشيك من التطبيق بحالة العملية."
544,Negative,"العميل: ليش لسه الفلوس ما نزلت؟
الموظف: بنراجع العملية ونرد عليك بسرعة."
545,Negative,"العميل: السحب تأخر كثيرًا وهذا غير مقبول.
الموظف: نقدر انزعاجك وسنتابع فورًا."
546,Positive,"العميل: تم تنفيذ السحب بعد قليل من الانتظار، شكرًا لدعمكم.
الموظف: نشكرك على صبرك ونسعد بخدمتك دائمًا."
547,Positive,"العميل: بعد التوضيح، وصلتني النقود كما هو متوقع.
الموظف: الحمد لله، أي استفسار آخر نحن حاضرون."
548,Negative,"العميل: السحب تأخر كثيرًا وهذا غير مقبول.
الموظف: نقدر انزعاجك وسنتابع فورًا."
549,Negative,"العميل: لماذا لم يصلني مبلغ السحب حتى الآن؟
الموظف: نعتذر عن التأخير، سنراجع العملية حالًا."
550,Neutral,"العميل: هل يمكنني تتبع عملية السحب؟
الموظف: نعم، من خلال التطبيق في قسم العمليات."
551,Negative,"العميل: صار لي وقت أستنى السحب.
الموظف: نأسف، وفتحنا طلب متابعة."
552,Positive,"العميل: التواصل معكم ساعدني في فهم سبب تأخير السحب.
الموظف: يسرنا ذلك، ونتمنى لك تجربة سلسة دائمًا."
553,Negative,"العميل: تأخرتوا كثير، وين المبلغ؟
الموظف: نعتذر، وراح نتابع فورًا."
554,Positive,"العميل: تم تنفيذ السحب بعد قليل من الانتظار، شكرًا لدعمكم.
الموظف: نشكرك على صبرك ونسعد بخدمتك دائمًا."
555,Neutral,"العميل: هل يمكنني تتبع عملية السحب؟
الموظف: نعم، من خلال التطبيق في قسم العمليات."
556,Negative,"العميل: لماذا لم يصلني مبلغ السحب حتى الآن؟
الموظف: نعتذر عن التأخير، سنراجع العملية حالًا."
557,Negative,"العميل: لماذا لم يصلني مبلغ السحب حتى الآن؟
الموظف: نعتذر عن التأخير، سنراجع العملية حالًا."
558,Neutral,"العميل: ليه أحياناً يتأخر السحب؟
الموظف: ممكن بسبب ضغط الشبكة أو عطل مؤقت."
559,Positive,"العميل: تم تنفيذ السحب بعد قليل من الانتظار، شكرًا لدعمكم.
الموظف: نشكرك على صبرك ونسعد بخدمتك دائمًا."
560,Neutral,"العميل: كم يستغرق تنفيذ طلب السحب النقدي؟
الموظف: عادة يتم التنفيذ خلال دقائق، حسب حالة الشبكة."
561,Neutral,"العميل: ليه أحياناً يتأخر السحب؟
الموظف: ممكن بسبب ضغط الشبكة أو عطل مؤقت."
562,Neutral,"العميل: كم يستغرق تنفيذ طلب السحب النقدي؟
الموظف: عادة يتم التنفيذ خلال دقائق، حسب حالة الشبكة."
563,Negative,"العميل: صار لي وقت أستنى السحب.
الموظف: نأسف، وفتحنا طلب متابعة."
564,Negative,"العميل: صار لي وقت أستنى السحب.
الموظف: نأسف، وفتحنا طلب متابعة."
565,Positive,"العميل: التواصل معكم ساعدني في فهم سبب تأخير السحب.
الموظف: يسرنا ذلك، ونتمنى لك تجربة سلسة دائمًا."
566,Negative,"العميل: لي أكثر من ساعة أنتظر تنفيذ السحب.
الموظف: نأسف لذلك، وسنقوم بفتح بلاغ عاجل."
567,Negative,"العميل: صار لي وقت أستنى السحب.
الموظف: نأسف، وفتحنا طلب متابعة."
568,Positive,"العميل: شكراً وضحتوا سبب التأخير وتم السحب.
الموظف: أهم شي الأمور تمام."
569,Negative,"العميل: تأخرتوا كثير، وين المبلغ؟
الموظف: نعتذر، وراح نتابع فورًا."
570,Neutral,"العميل: عادة كم ياخذ السحب وقت؟
الموظف: من دقايق إلى ربع ساعة غالباً."
571,Positive,"العميل: الحمدلله نزل المبلغ بعد ما انتظرت شوي.
الموظف: حياك الله، أي تأخير نتابعه على طول."
572,Positive,"العميل: شكراً وضحتوا سبب التأخير وتم السحب.
الموظف: أهم شي الأمور تمام."
573,Neutral,"العميل: ما سبب تأخير بعض عمليات السحب؟
الموظف: قد يتأثر ذلك بحالة الصراف أو النظام البنكي."
574,Neutral,"العميل: ليه أحياناً يتأخر السحب؟
الموظف: ممكن بسبب ضغط الشبكة أو عطل مؤقت."
575,Positive,"العميل: الحمدلله نزل المبلغ بعد ما انتظرت شوي.
الموظف: حياك الله، أي تأخير نتابعه على طول."
576,Neutral,"العميل: هل يمكنني تتبع عملية السحب؟
الموظف: نعم، من خلال التطبيق في قسم العمليات."
577,Positive,"العميل: بعد التوضيح، وصلتني النقود كما هو متوقع.
الموظف: الحمد لله، أي استفسار آخر نحن حاضرون."
578,Negative,"العميل: السحب تأخر كثيرًا وهذا غير مقبول.
الموظف: نقدر انزعاجك وسنتابع فورًا."
579,Positive,"العميل: الحمدلله نزل المبلغ بعد ما انتظرت شوي.
الموظف: حياك الله، أي تأخير نتابعه على طول."
580,Positive,"العميل: نزلت الفلوس خلاص، يعطيكم العافية.
الموظف: تسلم، إحنا بالخدمة."
581,Positive,"العميل: تم تنفيذ السحب بعد قليل من الانتظار، شكرًا لدعمكم.
الموظف: نشكرك على صبرك ونسعد بخدمتك دائمًا."
582,Negative,"العميل: السحب تأخر كثيرًا وهذا غير مقبول.
الموظف: نقدر انزعاجك وسنتابع فورًا."
583,Neutral,"العميل: هل يمكنني تتبع عملية السحب؟
الموظف: نعم، من خلال التطبيق في قسم العمليات."
584,Negative,"العميل: صار لي وقت أستنى السحب.
الموظف: نأسف، وفتحنا طلب متابعة."
585,Neutral,"العميل: هل يمكنني تتبع عملية السحب؟
الموظف: نعم، من خلال التطبيق في قسم العمليات."
586,Positive,"العميل: شكراً وضحتوا سبب التأخير وتم السحب.
الموظف: أهم شي الأمور تمام."
587,Negative,"العميل: لي أكثر من ساعة أنتظر تنفيذ السحب.
الموظف: نأسف لذلك، وسنقوم بفتح بلاغ عاجل."
588,Positive,"العميل: شكراً وضحتوا سبب التأخير وتم السحب.
الموظف: أهم شي الأمور تمام."
589,Negative,"العميل: تأخرتوا كثير، وين المبلغ؟
الموظف: نعتذر، وراح نتابع فورًا."
590,Negative,"العميل: لي أكثر من ساعة أنتظر تنفيذ السحب.
الموظف: نأسف لذلك، وسنقوم بفتح بلاغ عاجل."
591,Positive,"العميل: تم تنفيذ السحب بعد قليل من الانتظار، شكرًا لدعمكم.
الموظف: نشكرك على صبرك ونسعد بخدمتك دائمًا."
592,Negative,"العميل: لماذا لم يصلني مبلغ السحب حتى الآن؟
الموظف: نعتذر عن التأخير، سنراجع العملية حالًا."
593,Neutral,"العميل: كم يستغرق تنفيذ طلب السحب النقدي؟
الموظف: عادة يتم التنفيذ خلال دقائق، حسب حالة الشبكة."
594,Neutral,"العميل: هل يمكنني تتبع عملية السحب؟
الموظف: نعم، من خلال التطبيق في قسم العمليات."
595,Positive,"العميل: الحمدلله نزل المبلغ بعد ما انتظرت شوي.
الموظف: حياك الله، أي تأخير نتابعه على طول."
596,Neutral,"العميل: ليه أحياناً يتأخر السحب؟
الموظف: ممكن بسبب ضغط الشبكة أو عطل مؤقت."
597,Negative,"العميل: تأخرتوا كثير، وين المبلغ؟
الموظف: نعتذر، وراح نتابع فورًا."
598,Negative,"العميل: لماذا لم يصلني مبلغ السحب حتى الآن؟
الموظف: نعتذر عن التأخير، سنراجع العملية حالًا."
599,Negative,"العميل: السحب تأخر كثيرًا وهذا غير مقبول.
الموظف: نقدر انزعاجك وسنتابع فورًا."
600,Neutral,"العميل: عادة كم ياخذ السحب وقت؟
الموظف: من دقايق إلى ربع ساعة غالباً."
601,Neutral,"العميل: متى تدعمون عملات أكثر؟
الموظف: قريبًا إن شاء الله مع التحديثات الجديدة."
602,Positive,"العميل: شكراً لتوفير خدمة تبديل العملات الورقية بسهولة.
الموظف: هذا واجبنا، ونسعد دائمًا بخدمتك."
603,Negative,"العميل: الصراف ما فيه فكة نهائي.
الموظف: نعتذر، بنشيك على الصراف ونعبيه بالفئات."
604,Positive,"العميل: شكراً على دعم العملات الورقية المختلفة.
الموظف: تسلم، هدفنا راحتك."
605,Positive,"العميل: أخيرًا لقيت صراف يعطي فكة.
الموظف: حياك، وفرناها عشان نخدمك أفضل."
606,Neutral,"العميل: متى تدعمون عملات أكثر؟
الموظف: قريبًا إن شاء الله مع التحديثات الجديدة."
607,Neutral,"العميل: هل يمكنني صرف عملات أجنبية من الجهاز؟
الموظف: حالياً هذه الخدمة متاحة فقط في بعض الفروع."
608,Neutral,"العميل: هل الصراف يدعم فئات أقل من 50 شيكل؟
الموظف: نعم، بعضها يوفر فئات 5 و10 شيكل."
609,Neutral,"العميل: هل الصراف يدعم فئات أقل من 50 شيكل؟
الموظف: نعم، بعضها يوفر فئات 5 و10 شيكل."
610,Negative,"العميل: الصراف لا يدعم العملة الورقية الأجنبية التي أملكها.
الموظف: نأسف لذلك، وسنرفع طلب لتوفير الدعم لاحقًا."
611,Positive,"العميل: شكراً لتوفير خدمة تبديل العملات الورقية بسهولة.
الموظف: هذا واجبنا، ونسعد دائمًا بخدمتك."
612,Neutral,"العميل: هل الصراف يدعم فئات أقل من 50 شيكل؟
الموظف: نعم، بعضها يوفر فئات 5 و10 شيكل."
613,Neutral,"العميل: أقدر أغير دولار للصراف؟
الموظف: لا، لازم تروح للفرع حالياً."
614,Negative,"العميل: الصراف لا يدعم العملة الورقية الأجنبية التي أملكها.
الموظف: نأسف لذلك، وسنرفع طلب لتوفير الدعم لاحقًا."
615,Positive,"العميل: شكراً لتوفير خدمة تبديل العملات الورقية بسهولة.
الموظف: هذا واجبنا، ونسعد دائمًا بخدمتك."
616,Neutral,"العميل: أقدر أغير دولار للصراف؟
الموظف: لا، لازم تروح للفرع حالياً."
617,Neutral,"العميل: هل يمكنني صرف عملات أجنبية من الجهاز؟
الموظف: حالياً هذه الخدمة متاحة فقط في بعض الفروع."
618,Negative,"العميل: لم أتمكن من سحب العملات الصغيرة من الجهاز.
الموظف: نعتذر عن الإزعاج، سيتم تعبئة الفئات قريبًا."
619,Positive,"العميل: ممتاز، سحبت خمسات بدون مشاكل.
الموظف: حلو، وإن شاء الله دايم مرتاح معنا."
620,Positive,"العميل: شكراً لتوفير خدمة تبديل العملات الورقية بسهولة.
الموظف: هذا واجبنا، ونسعد دائمًا بخدمتك."
621,Neutral,"العميل: هل الصراف يدعم فئات أقل من 50 شيكل؟
الموظف: نعم، بعضها يوفر فئات 5 و10 شيكل."
622,Neutral,"العميل: ما هي الفئات الورقية المدعومة في أجهزة الصراف؟
الموظف: الأجهزة تدعم 5، 10، 50، و100 شيكل."
623,Negative,"العميل: حاولت صرف فئات صغيرة ولم أتمكن.
الموظف: نقدر ملاحظتك، وسنتابع مع القسم المختص."
624,Neutral,"العميل: وش الفئات اللي يطلعها الصراف؟
الموظف: حسب الجهاز، بس أغلبها فيها خمسات وعشرات."
625,Neutral,"العميل: متى تدعمون عملات أكثر؟
الموظف: قريبًا إن شاء الله مع التحديثات الجديدة."
626,Negative,"العميل: حاولت صرف فئات صغيرة ولم أتمكن.
الموظف: نقدر ملاحظتك، وسنتابع مع القسم المختص."
627,Negative,"العميل: الصراف لا يدعم العملة الورقية الأجنبية التي أملكها.
الموظف: نأسف لذلك، وسنرفع طلب لتوفير الدعم لاحقًا."
628,Neutral,"العميل: هل يمكنني صرف عملات أجنبية من الجهاز؟
الموظف: حالياً هذه الخدمة متاحة فقط في بعض الفروع."
629,Negative,"العميل: الصراف لا يدعم العملة الورقية الأجنبية التي أملكها.
الموظف: نأسف لذلك، وسنرفع طلب لتوفير الدعم لاحقًا."
630,Negative,"العميل: ما قدرت أغير العملة الأجنبية.
الموظف: للأسف مو كل العملات مدعومة حالياً."
631,Positive,"العميل: سعدت بتوفر العملات الصغيرة في أجهزة الصراف.
الموظف: نحرص على راحة العملاء وتوفير جميع الفئات."
632,Positive,"العميل: سعدت بتوفر العملات الصغيرة في أجهزة الصراف.
الموظف: نحرص على راحة العملاء وتوفير جميع الفئات."
633,Negative,"العميل: حاولت صرف فئات صغيرة ولم أتمكن.
الموظف: نقدر ملاحظتك، وسنتابع مع القسم المختص."
634,Negative,"العميل: لم أتمكن من سحب العملات الصغيرة من الجهاز.
الموظف: نعتذر عن الإزعاج، سيتم تعبئة الفئات قريبًا."
635,Neutral,"العميل: هل الصراف يدعم فئات أقل من 50 شيكل؟
الموظف: نعم، بعضها يوفر فئات 5 و10 شيكل."
636,Neutral,"العميل: هل الصراف يدعم فئات أقل من 50 شيكل؟
الموظف: نعم، بعضها يوفر فئات 5 و10 شيكل."
637,Negative,"العميل: حاولت صرف فئات صغيرة ولم أتمكن.
الموظف: نقدر ملاحظتك، وسنتابع مع القسم المختص."
638,Positive,"العميل: شكراً لتوفير خدمة تبديل العملات الورقية بسهولة.
الموظف: هذا واجبنا، ونسعد دائمًا بخدمتك."
639,Positive,"العميل: الجهاز صرف لي الفئات المطلوبة تمامًا.
الموظف: ممتاز! يسعدنا أن الخدمة نالت رضاك."
640,Positive,"العميل: الجهاز صرف لي الفئات المطلوبة تمامًا.
الموظف: ممتاز! يسعدنا أن الخدمة نالت رضاك."
641,Negative,"العميل: الصراف لا يدعم العملة الورقية الأجنبية التي أملكها.
الموظف: نأسف لذلك، وسنرفع طلب لتوفير الدعم لاحقًا."
642,Neutral,"العميل: ما هي الفئات الورقية المدعومة في أجهزة الصراف؟
الموظف: الأجهزة تدعم 5، 10، 50، و100 شيكل."
643,Positive,"العميل: الجهاز صرف لي الفئات المطلوبة تمامًا.
الموظف: ممتاز! يسعدنا أن الخدمة نالت رضاك."
644,Negative,"العميل: الصراف ما فيه فكة نهائي.
الموظف: نعتذر، بنشيك على الصراف ونعبيه بالفئات."
645,Neutral,"العميل: وش الفئات اللي يطلعها الصراف؟
الموظف: حسب الجهاز، بس أغلبها فيها خمسات وعشرات."
646,Neutral,"العميل: ما هي الفئات الورقية المدعومة في أجهزة الصراف؟
الموظف: الأجهزة تدعم 5، 10، 50، و100 شيكل."
647,Positive,"العميل: أخيرًا لقيت صراف يعطي فكة.
الموظف: حياك، وفرناها عشان نخدمك أفضل."
648,Neutral,"العميل: متى تدعمون عملات أكثر؟
الموظف: قريبًا إن شاء الله مع التحديثات الجديدة."
649,Neutral,"العميل: هل يمكنني صرف عملات أجنبية من الجهاز؟
الموظف: حالياً هذه الخدمة متاحة فقط في بعض الفروع."
650,Positive,"العميل: أخيرًا لقيت صراف يعطي فكة.
الموظف: حياك، وفرناها عشان نخدمك أفضل."
651,Positive,"العميل: سعدت بتوفر العملات الصغيرة في أجهزة الصراف.
الموظف: نحرص على راحة العملاء وتوفير جميع الفئات."
652,Positive,"العميل: شكراً لتوفير خدمة تبديل العملات الورقية بسهولة.
الموظف: هذا واجبنا، ونسعد دائمًا بخدمتك."
653,Negative,"العميل: ما قدرت أغير العملة الأجنبية.
الموظف: للأسف مو كل العملات مدعومة حالياً."
654,Neutral,"العميل: أقدر أغير دولار للصراف؟
الموظف: لا، لازم تروح للفرع حالياً."
655,Positive,"العميل: شكراً لتوفير خدمة تبديل العملات الورقية بسهولة.
الموظف: هذا واجبنا، ونسعد دائمًا بخدمتك."
656,Neutral,"العميل: ما هي الفئات الورقية المدعومة في أجهزة الصراف؟
الموظف: الأجهزة تدعم 5، 10، 50، و100 شيكل."
657,Neutral,"العميل: وش الفئات اللي يطلعها الصراف؟
الموظف: حسب الجهاز، بس أغلبها فيها خمسات وعشرات."
658,Neutral,"العميل: هل يمكنني صرف عملات أجنبية من الجهاز؟
الموظف: حالياً هذه الخدمة متاحة فقط في بعض الفروع."
659,Positive,"العميل: شكراً لتوفير خدمة تبديل العملات الورقية بسهولة.
الموظف: هذا واجبنا، ونسعد دائمًا بخدمتك."
660,Neutral,"العميل: هل الصراف يدعم فئات أقل من 50 شيكل؟
الموظف: نعم، بعضها يوفر فئات 5 و10 شيكل."
661,Neutral,"العميل: هل يمكنني صرف عملات أجنبية من الجهاز؟
الموظف: حالياً هذه الخدمة متاحة فقط في بعض الفروع."
662,Neutral,"العميل: ما هي الفئات الورقية المدعومة في أجهزة الصراف؟
الموظف: الأجهزة تدعم 5، 10، 50، و100 شيكل."
663,Neutral,"العميل: وش الفئات اللي يطلعها الصراف؟
الموظف: حسب الجهاز، بس أغلبها فيها خمسات وعشرات."
664,Positive,"العميل: الجهاز صرف لي الفئات المطلوبة تمامًا.
الموظف: ممتاز! يسعدنا أن الخدمة نالت رضاك."
665,Neutral,"العميل: أقدر أغير دولار للصراف؟
الموظف: لا، لازم تروح للفرع حالياً."
666,Negative,"العميل: لم أتمكن من سحب العملات الصغيرة من الجهاز.
الموظف: نعتذر عن الإزعاج، سيتم تعبئة الفئات قريبًا."
667,Neutral,"العميل: متى تدعمون عملات أكثر؟
الموظف: قريبًا إن شاء الله مع التحديثات الجديدة."
668,Neutral,"العميل: هل الصراف يدعم فئات أقل من 50 شيكل؟
الموظف: نعم، بعضها يوفر فئات 5 و10 شيكل."
669,Positive,"العميل: شكراً لتوفير خدمة تبديل العملات الورقية بسهولة.
الموظف: هذا واجبنا، ونسعد دائمًا بخدمتك."
670,Positive,"العميل: ممتاز، سحبت خمسات بدون مشاكل.
الموظف: حلو، وإن شاء الله دايم مرتاح معنا."
671,Positive,"العميل: الجهاز صرف لي الفئات المطلوبة تمامًا.
الموظف: ممتاز! يسعدنا أن الخدمة نالت رضاك."
